ID,River,Cntry.,Lat.,Lon.,Area (km^2),Altitude_m
1,AARE - Brienzwiler,CH,46.8,8.1,554,1805.0
2,AARE - Brugg,CH,47.5,8.2,11750,378.0
3,AARE - Thun,CH,46.8,7.6,2490,605.0
4,ALLER - Rethem,DE,52.8,9.4,14728,17.0
5,Altamaha River At Everett City,US,31.4,-81.6,42022,12.0
6,Ammeran - Skyttmon,SE,63.4,15.6,2759,0.0
7,Androscoggin River At Brunswick,US,43.9,-70.0,10478,41.0
8,Arbogaan - Grimso,SE,59.7,15.4,244,104.0
9,"Arkansas River At Dam No. 13, Near Van Buren",US,35.3,-94.3,391088,132.0
10,Athabasca River at Athabasca,CA,54.7,-113.3,73500,582.0
11,Athabasca River at old entrance,CA,53.4,-117.6,9780,982.0
12,Athabasca River upstream of Ft McMurray,CA,56.8,-111.4,131000,273.0
13,Atibaia - Atibaia,BR,-23.1,-46.6,1930,811.0
14,Atran - Skapanas,SE,57.2,13.0,3101,131.0
15,Bad River Near Odanah,US,46.5,-90.7,1546,229.0
16,Baptism River Near Beaver Bay,US,47.3,-91.2,363,179.0
17,Bear Den Creek Near Mandaree,US,47.8,-102.8,192,658.0
18,Bear River At Border,US,42.2,-111.1,6423,1869.0
19,Bear River Near Corinne,US,41.6,-112.1,18205,1297.0
20,Belle Fourche River Near Elm Springs,US,44.4,-102.6,18205,776.0
21,Big Sandy River At Louisa,US,38.2,-82.6,10093,165.0
22,Bighorn River At Bighorn,US,46.1,-107.5,58065,830.0
23,Black River At Coventry,US,44.9,-72.3,316,411.0
24,Black River At Watertown,US,44.0,-75.9,4828,135.0
25,Black River Near Galesville,US,44.1,-91.3,5387,268.0
26,Botorpstrommen - Gunnebo,SE,57.7,15.3,3,224.0
27,Breede River - Swellendam,ZA,-34.1,20.4,10461,158.0
28,Brugga - Oberried,DE,47.9,8.0,2,977.0
29,Caledon River - Jammerdrift,ZA,-29.7,27.0,14804,1433.0
30,Cannonball River At Breien,US,46.4,-100.9,10619,515.0
31,Carmans River At Yaphank,US,40.8,-72.9,189,17.0
32,Castle Creek Above Deerfield Reservoir,US,44.0,-103.8,205,1860.0
33,Chattahoochee River Near Columbia,US,31.3,-85.1,21264,55.0
34,Chenab Khanki,PK,32.4,74.0,37082,217.0
35,Chenab - Marala,PK,32.7,74.5,32692,242.0
36,Chenab - Punjnad,PK,29.4,71.0,323488,103.0
37,Chenab - Trimmu,PK,31.1,72.2,107643,148.0
38,Cimarron River At Perkins,US,36.0,-97.0,46236,288.0
39,Cimarron River Near Buffalo,US,36.9,-99.3,31611,557.0
40,Clark Fork Below Missoula,US,46.9,-114.1,23354,965.0
41,Colorado River Near Cisco,US,38.8,-109.3,62419,1340.0
42,Colorado River Near Colorado-Utah State Line,US,39.1,-109.0,46229,1624.0
43,Connecticut River At North Walpole,US,43.1,-72.4,14227,267.0
44,Dalalven - Alkarleby,SE,60.6,17.4,28921,0.0
45,Dalalven - Nas Bruk,SE,60.2,16.5,30718,0.0
46,Dalalven (east) - Grada,SE,60.6,15.0,24111,0.0
47,Dalalven (west) - Mockfjard,SE,60.5,15.0,24111,0.0
48,Danube - Bratislava (Left Side),SK,48.1,17.1,131331,140.0
49,Danube - Bratislava (Right Side),SK,48.1,17.1,131331,140.0
50,Danube - Engelhartszell,AT,48.5,13.7,77090,693.0
51,Danube - Hainburg,AT,48.2,16.9,104178,140.0
52,Danube - Medvedovo,HU,47.8,17.7,171720,109.0
53,Danube Ulm,DE,48.4,10.0,7500,476.0
54,Danube - Vienna,AT,48.3,16.4,103000,165.0
55,Danube - Vilshofen,DE,48.6,13.2,47496,348.0
56,Devils River At Pafford Crossing Near Comstock,US,29.7,-101.0,11920,377.0
57,Dolores River Near Cisco,US,38.8,-109.2,11862,1374.0
58,Donaukanal - Vienna Reactor,AT,48.2,16.4,284,166.0
59,Drau - Neubruecke,AT,46.6,14.6,11763,583.0
60,Dreisam - Ebnet,DE,48.0,7.9,257,485.0
61,Elbe Geesthacht,DE,53.4,10.4,148268,2.0
62,Elk Creek Near Decatur City,US,40.7,-93.9,136,282.0
63,Elkhorn River At Waterloo,US,41.3,-96.3,17871,339.0
64,Ems - Geeste,DE,52.6,7.3,4981,23.0
65,Fisheating Creek At Palmdale,US,26.9,-81.3,811,15.0
66,Flathead River At Columbia Falls,US,48.4,-114.2,11585,1014.0
67,"Flathead River At Flathead, British Columbia",US,49.0,-114.5,1111,1326.0
68,Flint River At Newton,US,31.3,-84.3,14867,50.0
69,Forsmarksan Johannisfors,SE,60.4,18.2,622,0.0
70,French Broad River At Marshall,US,35.8,-82.7,3450,583.0
71,Fulda - Hannoversch Muenden,DE,51.4,9.7,6955,248.0
72,G Miami River At New Baltimore,US,39.3,-84.7,11885,172.0
73,Gila River At Calva,US,33.2,-110.2,29707,803.0
